,DISTRICT_NAME,NORM_ARI_0_2,NORM_ARI_3_6,NORM_ARI_7_14,NORM_ARI_15,NORM_ARI_TOTAL,NORM_ILI_0_2,NORM_ILI_3_6,NORM_ILI_7_14,NORM_ILI_15,NORM_ILI_TOTAL,NORM_SWB_0_2,NORM_SWB_3_6,NORM_SWB_7_14,NORM_SWB_15,NORM_SWB_TOTAL,NORM_POS_0_2,NORM_POS_3_6,NORM_POS_7_14,NORM_POS_15,NORM_POS_TOTAL,NORM_swba_0_2,NORM_swba_3_6,NORM_swba_7_14,NORM_swba_15,NORM_swba_TOTAL,NORM_posa_0_2,NORM_posa_3_6,NORM_posa_7_14,NORM_posa_15,NORM_posa_TOTAL
20,Чебоксары,2163.1034785273964,1499.712088885541,346.46220009315294,163.59084111565636,344.38567654647284,0.0,0.0,0.0,0.0,0.0,7.125651431203877,3.385800825765958,1.5962836256248683,0.4841103248083599,1.1630363822917769,0.0,0.0,0.0,0.004563470712968371,0.003703318558573612,4.796529519021383,1.7549078413729118,0.8376343684707243,0.3701260306114652,0.7119873654775525,0.15915533082822844,0.06606206663284289,0.0,0.009190970349562014,0.029956172207290285
21,Архангельск,2362.6444479094184,1652.6469907833255,400.74824282647165,108.72122729893708,281.2908447815823,0.0,0.0,0.0,0.0,0.0,14.878413129580478,3.1351485259891065,1.9036050397184043,0.5443510033054095,1.2742955298170173,0.0,0.0,0.0,0.008127670092019043,0.006801631901938969,13.053511246400348,2.0861925267336465,0.7426918210349347,0.34896365736384827,0.9058930277217885,2.891575224097963,0.0,0.16193230581887547,0.0,0.11584247974113726
22,Великий Новгород,2337.372972664693,1363.9381797719893,445.9907365447652,88.03273495742363,257.85900659710336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6731401286531141,0.0,0.0,0.0,0.0,0.0,12.306177701206005,0.0,0.0,0.2663626580862376,0.6731401286531141,0.0,0.0,0.0,0.0,0.0
23,Вологда,2364.6860579854006,1824.3814870210902,373.05359527476315,140.96558400467362,367.4977940027429,0.11810279667422525,0.1908415772573036,0.1856830909550053,0.0,0.03354073336738126,22.26612676289361,6.8401832192224585,5.022824812978427,1.075127921823258,2.771737073786799,0.12025012025012026,0.19866497139224412,0.2494779095966761,0.0,0.03981994586045106,20.58262507939192,6.343520790741847,4.83376566582424,1.0609739657040602,2.6350273910387076,8.007701080996187,2.889917778069508,1.2114557302354378,0.28574751066258947,0.8861199813041951
24,Калининград,1885.399512692573,1838.5925294145804,327.14435668099316,118.65069772252511,273.90332934693487,0.0,0.0,0.0,0.0,0.0,58.08999590276378,32.03290855661019,12.145795336661582,2.9623923605965934,7.00564094285742,0.0,0.0,0.0,0.00645884681165486,0.005513153281098044,20.156748099497015,6.345674565444864,2.7659344579273624,1.198853821634077,2.249125812528941,9.56776703493652,2.985727266956733,0.8986966357829447,0.16435683247189453,0.6959389137858799
25,Мурманск,1963.3428715222942,1604.6998245280197,288.11141156799783,97.04659979636793,245.71099188391324,0.16840006466562482,0.0,0.0,0.00702716194853644,0.011735879072549209,35.07553639591212,9.885421245839716,4.161290000661807,0.1623036998719916,2.0944981105706995,0.6506181798304819,0.48960327446669966,0.14327222295450248,0.013569692038553125,0.06711883980083716,25.548320262174617,8.440970199183427,2.236614753210573,0.08000491961927934,1.4872211738430552,14.04441522238042,3.6070704394273316,0.696188534821647,0.0,0.684457918591697
26,Петрозаводск,2388.8564610814606,1704.1359301031662,389.0078942444887,120.55868972386952,298.9071529596473,0.0,0.0,0.0,0.0,0.0,24.98567936753776,14.379463379184472,5.090063100970512,1.936158497421463,3.6222515235288717,0.0,0.0,0.0,0.0,0.0,24.98567936753776,14.379463379184472,5.090063100970512,1.936158497421463,3.6222515235288717,9.895268360823563,4.681097603325597,1.0844441478517184,0.3228460350528146,0.9387529587846956
27,Псков,2418.797308380394,1706.4892647328106,357.47927500278337,78.25436974733715,264.0244333520308,0.21940217295912098,0.0,0.10644458069350772,0.0,0.017019770165023693,,,,,,,,,,,,,,,,,,,,
28,Санкт-Петербург,1630.8528538664975,1494.1264137851997,453.29933617305403,204.81356531529804,326.4179875831195,0.053905372353156386,0.08552088257004466,0.005526747690261605,0.007882143737512786,0.012578026500396692,3.896272989724282,2.628507650594211,1.277711360927239,0.4141456306906052,0.6862907134944505,0.008720372534314664,0.01740106104709841,0.0057249111493789615,0.006696241364442526,0.00711552668131848,3.258357068543672,2.711260576373495,0.8874623820787338,0.3104704319507892,0.5578137587896708,1.6511657053918258,1.1914169385517968,0.25421818001365665,0.095783978368745,0.21106770635799849
29,Сыктывкар,4957.0443559302275,3032.322098037166,653.0271048076582,174.6878699017314,559.384085862298,0.0,0.0,0.0,0.05050964240396684,0.04117332636168604,24.828091611420646,8.79994282669255,6.702226902957204,4.968613982153901,6.109006694672996,0.529705907280278,0.6058231462007853,0.11481741734294126,0.07861202894180337,0.12786647328108772,7.438329767405402,1.5646146745210323,3.2147214426985844,1.3908085762489477,1.8026218047289406,5.203263407176545,1.1734610058907742,1.3304358721071803,0.15749134524671204,0.5120586699460123
30,Владикавказ,1821.8462957781344,1851.028198542807,371.32524457057923,50.0845198056255,241.5640771037556,0.0,0.0,0.0,0.0,0.0,11.301989150090415,22.19685438863521,8.632298608473464,0.0,2.2987096576455084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Ставрополь,1956.115703475199,1948.6313453620219,421.11649932823696,99.04920037234615,281.01274468410014,0.0,0.0,0.0,0.0,0.0,10.668229401575754,4.436702853351288,4.7650825211589805,2.0394736262260245,2.686421001422179,0.0,0.0,0.0,0.03917930329795704,0.03293361801152743,10.668229401575754,4.436702853351288,4.7650825211589805,2.0394736262260245,2.686421001422179,3.2816204641852145,0.0,0.0,0.03929601966687192,0.166493326966241
32,Барнаул,3441.279934380061,2724.140511639519,709.689594819972,166.1600096134106,447.20463193630405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5732785021766187,0.0,0.0,0.0,0.0,0.005730191087547291,0.0,0.0,0.0,0.0,2.2980166111221885,0.0,0.0,0.0,0.0,0.47574669131642106
33,Иркутск,2058.4391056618106,1636.3100129829782,432.6876740247272,110.8908880919038,320.66023179616695,0.9096280117245421,0.39022170158795155,0.10571767925521612,0.03249121361027734,0.10084567335699733,12.16884259169986,7.539853445666281,4.720102113081522,1.0146612779435185,2.257223377303671,0.05700968252447996,0.0,0.140963877891432,0.029427171810482895,0.039359089913274636,12.16884259169986,7.539853445666281,4.720102113081522,1.0146612779435185,2.257223377303671,4.346134971794531,2.402633223429272,0.666284372692428,0.14664110231745145,0.5171713108585096
34,Кемерово,2066.735253050327,1641.2190768450557,237.21822952287104,67.61856321704933,227.70748132450143,0.0,0.07045905483405483,0.037420668183451085,0.003841774223539012,0.009617964512837252,21.752252978105247,11.122294346607934,4.4524822273842535,0.3781582466084692,1.989338369749415,0.0,0.07386768229805314,0.0,0.004390599112616014,0.007304053593723276,16.157457995094575,7.825421370942383,3.0807878979402896,0.2988638627560495,1.4551315716373894,8.087342054881367,2.679854803890132,0.8087851978740014,0.08790762961434732,0.5519017015681279
35,Красноярск,1403.0636169310492,1319.2504277799196,324.56400959539826,68.89707231711124,207.7060606422403,0.0,0.034579390130212155,0.0,0.009981299038122175,0.01003340857497906,28.808532899018154,8.331577139585908,4.395288591912537,2.2277737110376554,3.8591526397430007,0.5991198928773631,0.32665306047785425,0.22290500501982072,0.055463782031256674,0.10542599854144032,28.808532899018154,8.331577139585908,4.395288591912537,2.2277737110376554,3.8591526397430007,10.437597256885908,3.3275672500982583,0.874437218561228,0.3719776449520801,0.9987188380935405
36,Новосибирск,2008.4359900251945,2048.2147559285954,643.649172793924,162.30082820847403,362.91497975609417,0.0,0.0,0.016471707536267408,0.0026601459012232887,0.003361684404739006,5.4649877931368716,3.747890459325991,1.4000913511294246,0.4370172468172063,0.8837642380659962,0.0,0.0,0.016771193127835905,0.0027167169236658236,0.0034432261927593772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Норильск,1183.5105924221257,1112.5862650007152,123.10369666284954,95.65528878800326,207.16430440338664,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
38,Омск,2032.6623080009413,1677.2135379547872,429.5793172596772,94.24740438685494,284.15190258228796,0.03528173168384181,0.0,0.01869290252922448,0.02560265201562167,0.024268255024972846,15.261740790375411,8.164232583592886,4.054931327606324,0.6876976114856577,1.954422264864117,0.03727881083575739,0.0,0.019750991351633412,0.01740335227983265,0.017634152684535994,15.224461979539655,8.164232583592886,8.342125831962477,0.6722534043399406,2.273113937156848,8.456428297074792,3.9723942357564406,1.3682311874123863,0.19224352420733237,0.8286565118183212
39,Томск,2165.8768758845736,1620.4065209883208,302.9756519645053,92.88910958670797,257.65612394090016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6275589214717108,0.0,0.0,0.0,0.0,0.01525923998652404,11.476485412938404,4.551619454678357,2.406149403074896,0.7248786841039595,1.612528997494269,0.0,0.05993536570162737,0.0,0.0,0.5015545022587703
40,Екатеринбург,2526.1912074178285,1864.185126217273,363.42486877802327,116.2625113200905,341.5005371892483,0.0,0.10995809601964375,0.013006878037106023,0.0014835346054622794,0.008673255722697113,6.04878623564829,8.714176542338588,2.481603506834887,0.5612197941974395,1.4378317584594447,0.0,0.22569324002662877,0.0,0.019280484364504084,0.02870746587844594,6.04878623564829,8.714176542338588,2.481603506834887,0.5612197941974395,1.4378317584594447,2.9626329144965533,3.2373049297499197,0.7833611501723274,0.14124749562058275,0.49745641886902753
